"series_id","method","timestamp","origin_timestamp","forecast","lo80","hi80","lo90","hi90","lo95","hi95","horizon"
"O1","ARIMA",97,96,4571.38896714172,4408.97476872778,4733.80316555566,4362.93260025643,4779.84533402701,4322.9978855593,4819.78004872414,1
"O1","ARIMA",98,96,4531.23562687241,4261.02403467474,4801.44721907008,4184.42280293286,4878.04845081196,4117.98265824324,4944.48859550158,2
"O1","ARIMA",99,96,4558.8149518352,4215.99951398843,4901.63038968196,4118.81610085054,4998.81380281985,4034.52398330248,5083.10592036791,3
"O1","ARIMA",100,96,4550.70502430999,4159.83986237947,4941.5701862405,4049.03502012473,5052.37502849525,3952.92834423572,5148.48170438425,4
"O1","ARIMA",101,96,4544.68064495417,4098.46094562202,4990.90034428633,3971.9638611767,5117.39742873164,3862.24650543389,5227.11478447446,5
"O1","ARIMA",102,96,4555.452649202,4067.1952535375,5043.71004486651,3928.78106630447,5182.12423209954,3808.72740113827,5302.17789726574,6
"O1","ARIMA",103,96,4547.13522244272,4018.82011453272,5075.45033035273,3869.05012248833,5225.22032239712,3739.14699018461,5355.12345470083,7
"O1","ARIMA",104,96,4550.29416047411,3982.85826642932,5117.73005451891,3821.99807510716,5278.59024584107,3682.47584885552,5418.11247209271,8
"O2","ARIMA",97,96,7059.1,5980.89617165391,8137.30382834609,5675.2403681838,8442.9596318162,5410.12954233955,8708.07045766045,1
"O2","ARIMA",98,96,7059.1,5534.28952295036,8583.91047704964,5102.02694026489,9016.17305973511,4727.10361482402,9391.09638517598,2
"O2","ARIMA",99,96,7059.1,5191.5961883893,8926.6038116107,4662.18480715078,9456.01519284923,4202.999387152,9915.200612848,3
"O2","ARIMA",100,96,7059.1,4902.69234330782,9215.50765669219,4291.38073636759,9826.81926363241,3761.1590846791,10357.0409153209,4
"O2","ARIMA",101,96,7059.1,4648.16294621762,9470.03705378238,3964.69579194114,10153.5042080589,3371.8899637823,10746.3100362177,5
"O2","ARIMA",102,96,7059.1,4418.05078183669,9700.14921816331,3669.3500264145,10448.8499735855,3019.96377780825,11098.2362221918,6
"O2","ARIMA",103,96,7059.1,4206.44080755847,9911.75919244153,3397.75156479292,10720.4484352071,2696.33424973809,11421.8657502619,7
"O2","ARIMA",104,96,7059.1,4009.47904590073,10108.7209540993,3144.95388052977,10973.2461194702,2395.10722964805,11723.092770352,8
"O3","ARIMA",97,96,6633.04842750548,3650.66594493935,9615.43091007161,2805.20195195552,10460.8949030554,2071.88802545114,11194.2088295598,1
"O3","ARIMA",98,96,5723.91368295129,2217.8737074302,9229.95365847238,1223.96009152321,10223.8672743794,361.888256015887,11085.9391098867,2
"O3","ARIMA",99,96,5162.0148419487,1475.52177088016,8848.50791301725,430.452209818684,9893.57747407873,-475.989779020515,10800.0194629179,3
"O3","ARIMA",100,96,4814.72824949219,1061.59215745247,8567.86434153191,-2.36977403573292,9631.82627302011,-925.198076725744,10554.6545757101,4
"O3","ARIMA",101,96,4600.08467221614,821.801423015979,8378.3679214163,-249.289378102236,9449.45872253452,-1178.30091203959,10378.4702564719,5
"O3","ARIMA",102,96,4467.42229403456,679.576978105587,8255.26760996354,-394.224536063344,9329.06912413247,-1325.58720931278,10260.4317973819,6
"O3","ARIMA",103,96,4385.42912746449,593.937497797261,8176.92075713171,-480.897695650177,9251.75595057915,-1413.15693151701,10184.015186446,7
